polish,english,example,grammatical_type
dziwisz się (dziwić się),You are surprised,,conjugation
dziwić się,to be surprised (repeated),,verb
dziwię się (dziwić się),I am surprised,,conjugation
dół,bottom/pit,Nie ma dołu,m noun
dłoń,palm/hand,,f noun
długotrwały,long-lasting,,adjective
długość,length,,f noun
dźgać,to jab (repeated),,verb
dźgnąć,to jab (once),,perf verb
dźwig,crane,Nie ma dźwigu,m noun
ekran,screen,Komórka ma duży ekran,m noun
ekscytujący,exciting,,adjective
eksponat,exhibit,Nie ma eksponatu,m noun
emerytura,pension,Odchodzić na emeryturę (To retire),f noun
energooszczędny,energy-saving,,adjective
etat,job position,Czy woli pracę na etacie czy na własny rachunek?,m noun
ewentualnie,alternatively,,adverb
fala,wave,,f noun
farba,paint/dye/ink,,f noun
fałszywie,falsely/insincerely,,adverb
ferie,holiday/break,,f plural noun
filiżanka,cup,,f noun
filozofia,philosophy,,f noun
furgonetka,van,,f noun
gabinet,small or private office,Gabinet lekarski,m noun
garnitur,suit,Nie ma garnituru,m noun
garść,handful,,f noun
gasisz (gasić),You are extinguishing,,conjugation
gasić,"to put out, to extinguish (repeated)",,verb
gaszę (gasić),I am extinguishing,,conjugation
gatunek,kind/sort/variety/species,Nie ma gatunku,m noun
gałąź,branch,Nie ma gałęzi,f noun
gaś (gasić),Extinguish! (repeated),,imperative
gdyż,because,,conjunction
giełda,exchange (e.g. stock or labour),,f noun
ginąć,to be killed (repeated),,verb
giąć,to bend (repeated),,verb
gliniany,clay,,adjective
gniesz (giąć),You are bending,,conjugation
gnij (giąć),Bend! (repeated),,imperative
gnę (giąć),I am bending,,conjugation
godność,dignity,,f noun
gonisz (gonić),You are chasing,,conjugation
gonić,to chase,,verb
gonię (gonić),I am chasing,,conjugation
gorączka,fever,,f noun
gospodarka,economy,,f noun
gospodarstwo,household,,n noun
gotówka,cash,,f noun
gościnny,hospitable,,adjective
granatowy,navy blue,,adjective
granica,border,,f noun
grozisz (grozić),You are threatening,,conjugation
grozić,to threaten (repeated),,verb
grożę (grozić),I am threatening,,conjugation
grudzień,December,,m noun
grzech,sin,Nie ma grzechu,m noun
grzejnik,heater/radiator,,m noun
grzmot,thunder,Nie ma grzmotu,m noun
grób,grave/tomb,Nie ma grobu,m noun
gust,taste,Ma pan dobry gust (You are a man of taste),m noun
gwałtownie,fiercely/rapidly/sharply/suddenly,,adverb
góra,top/mountain,,f noun
gąbka,sponge,,f noun
głaz,boulder,Nie ma głazu,m noun
głuchy,deaf,,adjective
głębokość,depth,,f noun
handel,trade/retail,,m noun
harcerstwo,scouting,,n noun
hałasować,to make noise,,verb
hipoteza,hypothesis,,f noun
imiesłów,participle,,m noun
imitować,to imitate,,verb
inaczej,otherwise/differently,,adverb
ingerencja,interference,,f noun
ingerować,to interfere,,verb
istnienie,existence,,n noun
istnieć,to exist,Zawsze istnieją rozwiązania (There's always a solution),verb
istota,creature,,f noun
istotny,significant,,adjective
izolować,to isolate (repeated),,verb
iść piechotą,to go on foot,,phrase
jad,venom,Nie ma jadu,m noun
jadowity,venomous,,adjective
jakby,as if/though,"Dlaczego zawsze mówisz o naszej mamie, jakby nić mogło cię zdenerwować",conjunction
jazda,a drive/ride (e.g. car/bike),Po jeździe,f noun
jednocześnie,at the same time,,adverb
jednorazowy,single/disposable,,adjective
jedynaczka,only (girl) child,,f noun
jedynak,only (boy) child,,m noun
jedynie,only,,adverb
jezioro,lake,,n noun
jubiler,jeweller,,m noun
kaloryfer,radiator,,m noun
kancelaria,administrative office,,f noun
kaprys,a whim,Nie ma kaprysu,m noun
karać,to punish (repeated),,verb
kartka,sheet of paper,,f noun
kawaler,bachelor,,m noun
kazać,to command/order,,verb
każesz (kazać),You are commanding,,conjugation
każę (kazać),I am commanding,,conjugation
kierownica,steering wheel or handle bars,,f noun
kierunek,direction,Czy to dobry kierunek?,m noun
kieszeń,pocket,,f noun
kij,stick,,m noun
kikut,stump,,m noun
klamka,handle,,f noun
klatka,cage,,f noun
klawisz,piano key,,m noun
klejnot,jewel,Nie ma klejnotu,m noun
klękać,to kneel (repeated),,verb
klęknąć,to kneel (once),,perf verb
kobiecy,feminine,,adjective
kojarzyć się,to be associated/reminded (repeated),To kojarzy mi się z czymś,verb
kojący,soothing,,adjective
kolej,railway/railroad,Nie ma kolei,f noun
kolejność,sequence/order,,f noun
kolejny,consecutive/subsequent,,adjective
kolekcja,collection,,f noun
komin,chimney,Nie ma komina,m noun
komisariat,police station,Nie ma komisariatu,m noun
konfliktowy,confrontational,,adjective
konieczność,necessity,,f noun
konkurencja,competition,,f noun
konkurs,contest/competition,,m noun
konsekwentny,consistent,,adjective
konto,account,,n noun
kontrahent,contractor,,m noun
kopać,to kick (repeated),,verb
koperta,envelope,,f noun
kopnąć,to kick (once),,perf verb
korzeń,root,Pamiętaj o swoich korzeniach!,m noun
korzyść,benefit,,f noun
kosmyk,wisp,,m noun
koszmar,nightmare,Nie ma koszmaru,m noun
kołdra,duvet,,f noun
koślawy,crooked,,adjective
krach,crash,Krach giełdowy/finansowy,m noun
kradniesz (kraść),You are stealing,,conjugation
kradnę (kraść),I am stealing,,conjugation
kraina,land/region/area,,f noun
krata,bars/grating/grid,,f noun
kraść,to steal (repeated),,verb
krewny,(blood) relative,,m noun
kroić,to cut I (repeated),,verb
krok,step,Nie ma kroku,m noun
kromka,slice,,f noun
kropla,drop,,f noun
krytykować,to criticise (repeated),,verb
krzyczeć,to shout (repeated),,verb
krzyczysz (krzyczeć),You are shouting,,conjugation
krzyczę (krzyczeć),I am shouting,,conjugation
krzykniesz (krzyknąć),You will shout,,conjugation
krzyknąć,to shout (once),,perf verb
krzyknę (krzyknąć),I will shout,,conjugation
krzyż,cross,,m noun
krążyć,to circle/rotate/orbit,,verb
kuchenka,stove/hob,,f noun
kuchenny,kitchen,,adjective
kula,ball/sphere/bullet,,f noun
kumpel,pal/buddy,,m noun
kurz,dust,Nie ma kurzu,m noun
kwadratowy,square,,adjective
kwestia,question/matter,To kwestia życia i śmierci (It's a matter of life and death),f noun
kwiecień,April,,m noun
kłamać,to lie (repeated),,verb
kłócisz się (kłócić się),You are arguing,,conjugation
kłócić się,to argue (repeated),,verb
kłócę się (kłócić się),I am arguing,,conjugation
kłótnia,argument,,f noun
lecieć,to fly (repeated),,verb
lecisz (lecieć),You are flying,,conjugation
lecz,but,,conjunction
leczenie,treatment/therapy,,n noun
leczyć,to treat/cure/heal (repeated),,verb
lecę (lecieć),I am flying,,conjugation
ledwie,barely/hardly,,particle
lepszość,superiority,,f noun
lewa strona,left side,Po lewej stronie (on the left side),f noun
leż (leżeć),Lie!,,imperative
leżeć,to lie,,verb
leżysz (leżeć),You are lying,,conjugation
leżę (leżeć),I am lying,,conjugation
licencjat,bachelor's degree,Nie ma licencjatu,m noun
liczba,number/figure,,f noun
liczebnik główny,cardinal number,,adjective
liczebnik porządkowy,ordinal number,,adjective
liczyć,to count (repeated),,verb
lipiec,July,,m noun
listopad,November,,m noun
litościwy,merciful,,adjective
losować,to draw (e.g. a card) (repeated),,verb
ludzki,human,,adjective
luty,February,,m noun
ląd,land,Nie ma lądu,m noun
lądować,to land (repeated),,verb
lśniący,shiny,,adjective
macierzyństwo,motherhood,,n noun
macocha,stepmother,,f noun
magisterium,master's degree,,n noun
maj,May,,m noun
majątek,asset/property,Nie ma majątku,m noun
makler,stock broker,,m noun
mandat,ticket/fine,Nie ma mandatu,m noun
marka,brand/make,,f noun
marnować,to waste (repeated),,verb
marny,weak/feeble/flimsy,,adjective
marynarka,suit jacket,,f noun
marz (marzyć),Dream!,,imperative
marzec,March,,m noun
marzysz (marzyć),You are dreaming,,conjugation
marzyć,to dream,,verb
marzę (marzyć),I am dreaming,,conjugation
matowy,matt (not shiny),,adjective
mgła,fog/mist,,f noun
mianownik (kto? co?),nominative case,,m noun
miara,measure/size,,f noun
miecz,sword,,m noun
miejscownik (o kim? o czym?),locative case,,m noun
miejski,municipal/urban,,adjective
miesiąc,month,,m noun
miesięczny,monthly,,adjective
mieszać,to mix (repeated),Mieszamy zupę,verb
mieszczę się (mieścić się),I am fitting,,conjugation
mieszkaniec,occupant/inhabitant,,m noun
mieścisz się (mieścić się),You are fitting,,conjugation
mieścić się,to fit (repeated),,verb
mijać,to pass (repeated),,verb
mikstura,potion,,f noun
milcz (milczeć),Keep silent!,,imperative
milczeć,to keep silent,,verb
milczysz (milczeć),You are keeping silent,,conjugation
milczę (milczeć),I am keeping silent,,conjugation
milion,one million,,numeral
milknąć,to fall silent (repeated),,verb
mimo to,nevertheless,,phrase
minąć,to pass (once),,perf verb
miotła,broom,,f noun
miska,bowl,,f noun
mistrz,master/champion,,m noun
mistrzostwa,championships,,f pl noun
mit,myth,Nie ma mitu,m noun
mięsień,muscle,Nie ma mięśnia,m noun
miłośniczka,lover/enthusiast (female),,f noun
miłośnik,lover/enthusiast (male),,m noun
mniejszość,minority,,f noun
mnogi,plural,,adjective
mnóstwo,plenty (of something),,n noun
moczyć,to wet (repeated),,verb
modlitwa,prayer,,f noun
mogli,They were able to (m),,conjugation
mogliście,You (plural) were able to (m),,conjugation
mogliśmy,We were able to (m),,conjugation
mogą,They can,,conjugation
mogę,I can,,conjugation
mogła,She was able to,,conjugation
mogłam,I was able to (f),,conjugation
mogłaś,You were able to (f),,conjugation
mogłem,I was able to (m),,conjugation
mogłeś,You were able to (m),,conjugation
mogło,It was able to,,conjugation
mogły,They were able to (f),,conjugation
mogłyście,You (plural) were able to (f),,conjugation
mogłyśmy,We were able to (f),,conjugation
morderca,murderer,,m noun
mowa,speech,,f noun
mozolny,arduous/laborious,,adjective
może,He/she/it can,,conjugation
możecie,You (plural) can,,conjugation
możemy,We can,,conjugation
możesz,You can,,conjugation
możliwość,possibility,,f noun
mroźny,frozen,,adjective
mróz,frost,Nie ma mrozu,m noun
mur,wall,Upadek muru Berlińskiego,m noun
musi,He/she/it must,,conjugation
musiał,He had to,,conjugation
musiała,She had to,,conjugation
musiałam,I had to (f),,conjugation
musiałaś,You had to (f),,conjugation
musiałem,I had to (m),,conjugation
musiałeś,You had to (m),,conjugation
musiało,It had to,,conjugation
musiały,They had to (f),,conjugation
musiałyście,You (plural) had to (f),,conjugation
musiałyśmy,We had to (f),,conjugation
musicie,You (plural) must,,conjugation
musieli,They had to (m),,conjugation
musieliście,You (plural) had to (m),,conjugation
musieliśmy,We had to (m),,conjugation
musimy,We must,,conjugation
musisz,You must,,conjugation
muszą,They must,,conjugation
muszę,I must,,conjugation
myj (myć),Wash! (repeated),,imperative
myjesz (myć),You are washing,,conjugation
myję (myć),I am washing,,conjugation
mylić się,to make mistakes (repeated),,verb
mylny,mistaken/erroneous/wrong,,adjective
myć,to wash (repeated),,verb
mógł,He was able to,,conjugation
mówienie,speaking,,n noun
mózg,brain,Nie ma mózgu,m noun
męczący,tiresome/tiring,,adjective
